ID_Capsula_Padre,Titulo_Episodio,Link_YouTube
amplificado,(HD) Campo Alegre - Los Gaiteros de San Jacinto / Así tocan los indios VIDEOCLIP OFICIAL (COLOMBIA),https://www.youtube.com/watch?v=seP2NFCxHhY
amplificado,(HD) GRUPO CANALÓN DE TIMBIQUÍ / SAGRADA SANTA MARIA : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=t5-09Ib7_nc
amplificado,(HD) HETY AND ZAMBO / TEK A RIDE : AMPLIFICADO (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=cGRHfc4HKJo
amplificado,(HD) PABLO MALAURIE / SEYMUR CASSELL : AMPLIFICADO  (ARGENTINA),https://www.youtube.com/watch?v=NbME4OX21wo
amplificado,(HD) MONTE / NEÓN FURIOSO : AMPLIFICADO (COSTA RICA),https://www.youtube.com/watch?v=pwWK_3NZ4QU
amplificado,(HD) CHIRIMIA DEL RIO NAPI :  LOS ALIMENTOS DEL MAIZ : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=VqqJirYhiok
amplificado,(HD) LA DESGRACIA EN COMPAÑIA FEAT. SISMO / DANIELA : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=yethwErErYM
amplificado,(HD) VALERIA CINI / CANCION EPICA EN SOBREDOSIS DE POESIA : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=X1Zn88rIjJQ
amplificado,(HD) GAITEROS DE SAN JACINTO / ROSITA : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=B9O81r9d-1s
amplificado,(HD) LAS ROBERTAS / DESPAIR : AMPLIFICADO (COSTA RICA),https://www.youtube.com/watch?v=qIDegYoKLvw
amplificado,(HD) PAITO / LA CAMA BERROCHONA : AMPLIFICADO (COLOMBIA) EN VIVO,https://www.youtube.com/watch?v=lPB6DxxInGs
amplificado,(HD) CREOLE GROUP / INSIDE  : AMPLIFICADO.TV (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=wqGTfaK4vB0
amplificado,(HD) SOL OKARINA / DOS VECES CIEN : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=8hoKr5lsmgA
amplificado,(HD) EL HIPNOTIZADOR ROMANTICO / SI UN COMETA ES NADA QUE PERDER : AMPLIFICADO (ARGENTINA),https://www.youtube.com/watch?v=XYalH5pgsxU
amplificado,(HD) ELIJAH / NEIGHBOR : AMPLIFICADO  (SAN ANDRES Y PROVIDENCIA),https://www.youtube.com/watch?v=fL8K3FtUA2Y
amplificado,(HD) MONTE / CUEVAS : AMPLIFICADO (COSTA RICA),https://www.youtube.com/watch?v=FX2SugkuHhQ
amplificado,(HD) JUAN CIREROL / LA FLORESILLA : AMPLIFICADO  (MÉXICO),https://www.youtube.com/watch?v=fufDNHMAVrE
amplificado,(HD) CANTOS DE RIO / CORTO DOCUMENTAL : AMPLIFICADO Y SOLAR HOUSE FILMS (COLOMBIA),https://www.youtube.com/watch?v=T4afgdnorss
amplificado,(HD) MARTIN BUSCAGLIA / SAGRADO SALADO : AMPLIFICADO (URUGUAY),https://www.youtube.com/watch?v=6ls5bfwvnXk
amplificado,(HD) PLANES (Estudios Universales) / PLANES : AMPLIFICADO (COLOMBIA),https://www.youtube.com/watch?v=7NSpim21JMQ
